instance_id,benchmark_instance_id,revise_instance_id,difficulty,revise_type,revise_type_name,tolerance,workspace_sha256
28,IndustryOR_28,IndustryOR_28_revise_business,Medium,R4,Penalty / Fixed Cost Addition,0.01,fb3f0cc3738c72f285ab0c66e41b380ff668557861e7a2e5ffa2f9be34dc8272
29,IndustryOR_29,IndustryOR_29_revise_business,Medium,R5,Objective Function Transformation,0.01,47f75a7cfb85a6b2ac9455b3e4a4183fe73ead244e1322579f0178adf61c08bd
30,IndustryOR_30,IndustryOR_30_revise_business,Easy,R1,Mutual Exclusion Constraint,0.01,02c7e91d5dc1b5750ccd08762900822f53216df565057794ff03ac9971e7dee7
31,IndustryOR_31,IndustryOR_31_revise_business,Hard,R4,Penalty / Fixed Cost Addition,0.01,eab7a71599b375fe155628ee96e15b935f01c19132a650d59ebbeca2ea23674d
32,IndustryOR_32,IndustryOR_32_revise_business,Hard,R5,Scenario Restructuring,0.01,78b687b9bbef1f18b96b68748a2768575587e6a60cec183ed3c58986b51c5e5c
33,IndustryOR_33,IndustryOR_33_revise_business,Hard,R5,Scenario Restructuring,0.01,960068e39d829df3bec3a2e211a52bba5a54c6917d1e065d849893d666409bbb
34,IndustryOR_34,IndustryOR_34_revise_business,Hard,R3,Business Logic / Dependency Constraint,0.01,f484fd8e5485b88a00fde9a9aa86c078a436074f9a9aebc11994cbbde835a028
35,IndustryOR_35,IndustryOR_35_revise_business,Hard,R5,Scenario Restructuring,0.01,792a310e8ada6e7863220293637f5a8646d9a612e5293cd76220bf941424dcff
36,IndustryOR_36,IndustryOR_36_revise_business,hard,R4,structural_change,0.01,f4c1b7f4c2490489b6a951f51afa420d9eead10c1b84e23c2a24cadedc050d4f
37,IndustryOR_37,IndustryOR_37_revise_business,Hard,R5,Scenario Restructuring,0.01,02a9b7e6a45ec2a0de2689a0b98fbb58a5059e212460cd26ceeb609332c19720
38,IndustryOR_38,IndustryOR_38_revise_business,Hard,R5,Scenario Restructuring,0.01,1a32f8a23338900d41ab0bdbe927a31ee1f709345e89efeef1875eff90313b73
39,IndustryOR_39,IndustryOR_39_revise_business,Hard,R5,Scenario Restructuring,0.01,4c6f059ec3b28ab5a3d0f1f42f85c7f88a93e1b9586e2ec8c3f4aed5cbc48a36
40,IndustryOR_40,IndustryOR_40_revise_business,Hard,R5,Scenario Restructuring,0.01,d8a816a8cf1c150e65c370164599136fbc7bd36dfa60a32cc6100f524e87f4db
41,IndustryOR_41,IndustryOR_41_revise_business,Medium,R5,Objective Function Transformation,0.01,d7c92cc092426720dbcff2cdb1499a58e5696daa5a43fb288db0fbff0c855b4d
42,IndustryOR_42,IndustryOR_42_revise_business,Hard,R5,Scenario Restructuring,0.01,9658214c2bfa410385302363b7e62ef668177da77f0fbb9e6c3e03a36d2f68b6
43,IndustryOR_43,IndustryOR_43_revise_business,Medium,R4,Scenario Restructuring,0.01,204a3a342b22f43bd1fc527c038ee6aeb26a7278477b3a255aa10c05724a90d1
44,IndustryOR_44,IndustryOR_44_revise_business,Hard,R5,Scenario Restructuring,0.01,8dd9baa654d68c4816b75bc4d9059c3a4806bd07faba084ca3189f1236b26fcd
45,IndustryOR_45,IndustryOR_45_revise_business,Hard,R5,Scenario Restructuring,0.01,d309d0baa717eec11bc1aa0e7ea88c4767ab4439a3a39d6445e42aaf55f966d0
46,IndustryOR_46,IndustryOR_46_revise_business,Hard,R5,Scenario Restructuring,0.01,7bdad81ff87f8f4be51e8ee4765501b2d9eb118de445a5618203c6df99ba09a9
47,IndustryOR_47,IndustryOR_47_revise_business,Hard,R5,Scenario Restructuring,0.01,3b3dfb95583e9572dcc85852ee75bc781e5e9e09c4676acb7a00dce5b05b10a0
48,IndustryOR_48,IndustryOR_48_revise_business,Medium,R5,Objective Function Transformation,0.01,53d5a9b8f004c454e0067314535c973dd46b94339f090e7523726221802ed2c6
49,IndustryOR_49,IndustryOR_49_revise_business,Hard,R5,Scenario Restructuring,0.01,c909329da0f0f909b1fcd3688c15c5610ca54ba238199da8a1ed447bf925e5bd
50,IndustryOR_50,IndustryOR_50_revise_business,Easy,R4,Penalty / Fixed Cost Addition,0.01,358311525920d52893e8ac882a4c9e337aac62e96a60958ee40316d0c9961edc
51,IndustryOR_51,IndustryOR_51_revise_business,L5,R3,add_remove_modify_constraints_variables,0.01,08e2c58563110089117f8e23d664f61204943e3529e37657d5fee05d85fcf5c0
52,IndustryOR_52,IndustryOR_52_revise_business,Hard,R5,Scenario Restructuring,0.01,8ac98b0bff151118cbfa3c06d2d515e94fcd3c3eaf97ba8ba8a7d6b138d0f2fd
53,IndustryOR_53,IndustryOR_53_revise_business,Hard,R5,Scenario Restructuring,0.01,ac7ff461e999842e8a9b366ed619749402b95e75658d80f18aff5207ae5266fa
54,IndustryOR_54,IndustryOR_54_revise_business,Hard,R5,Scenario Restructuring,0.01,cd9fe5f89f8986c9e685578b49b8b7683d9204bb104ebbe2138369559e22f393
55,IndustryOR_55,IndustryOR_55_revise_business,L5,R4,structural policy revision,0.01,17195c83c2dad7d22207054c1a204dee20eb98ae6730cd61c2274d75c1168b37
56,IndustryOR_56,IndustryOR_56_revise_business,Hard,R5,Scenario Restructuring,0.01,67730b631c7f25882099386b373162040d8824b24bedf4364e6da204c804979d
57,IndustryOR_57,IndustryOR_57_revise_business,Easy,R4,Penalty / Fixed Cost Addition,0.01,5589e07b903882146f548b341913ccd181aa25d1665e15a79b6396897e748ad5
58,IndustryOR_58,IndustryOR_58_revise_business,Hard,R5,Scenario Restructuring,0.01,ca7bdf75cc500d9293f2e7c7e57c282bc1f0c722bb7a1c8b8e64ce1e395a928f
59,IndustryOR_59,IndustryOR_59_revise_business,Medium,R4,Penalty / Fixed Cost Addition,0.01,79e98e8e4c5c4fbe56ad61f12d4ca4eee61ab2e3b0bf42b3deea96a6b80c02fc
60,IndustryOR_60,IndustryOR_60_revise_business,Hard,R5,Scenario Restructuring,0.01,16c83dd079842374016a770c5ca5748e4544546cac29f1e065cc6ec73f90c99d
61,IndustryOR_61,IndustryOR_61_revise_business,Hard,R5,Scenario Restructuring,0.01,26520c31dc1c1bb06117e525933e75a57cab7b806f76d7c0795657f0edafbeba
62,IndustryOR_62,IndustryOR_62_revise_business,Hard,R5,Scenario Restructuring,0.01,2a33dc5387bf43df76ff209ee3b3055eb39cca22d9c73b24e766194b8e854e54
63,IndustryOR_63,IndustryOR_63_revise_business,Easy,R4,Penalty / Fixed Cost Addition,0.01,d1f1fd6efdb3a313903594dac6ad9313cb5cacb5beec98ec9e4b50f89ca44da6
64,IndustryOR_64,IndustryOR_64_revise_business,Hard,R5,Scenario Restructuring,0.01,4cd2bbc389bb38d3fc2676700fc02b3f87e1e05da343e4544550fb6490f52b06
65,IndustryOR_65,IndustryOR_65_revise_business,Hard,R5,Scenario Restructuring,0.01,764cee756afbdcc7f39fc0eb68ed9faf8ece15217054983026019961ba0f89a9
66,IndustryOR_66,IndustryOR_66_revise_business,Hard,R5,Scenario Restructuring,0.01,ce06a43e9402458c5add1a8f6dee9c87d2dce1fd387ceb207ee6e60c193d6b12
67,IndustryOR_67,IndustryOR_67_revise_business,hard,R3,structural constraint and variable revision,0.01,2d53d4ae06b56bd328271edaa56b7f3706254f01e1e70e02ddf3c65243a01f4d
68,IndustryOR_68,IndustryOR_68_revise_business,medium,R4,structural policy and network redesign,0.01,0f5c3c5a9964750fb7909bd982e1cc14473d7f8bf30c82f6570200214229f988
69,IndustryOR_69,IndustryOR_69_revise_business,Hard,R5,Scenario Restructuring,0.01,40a4d721f623370c93a9a499a0084ec509e9d78fb27f3cc4d37304ff7bcadc86
70,IndustryOR_70,IndustryOR_70_revise_business,L5,R4,structural_change,0.01,a29e25c1c52bbdeca1f3ac30d90486c3bceaef528d7c6c76185c24bc020c549c
71,IndustryOR_71,IndustryOR_71_revise_business,Hard,R5,Scenario Restructuring,0.01,0a387289f180516724c2a49b0f0624a78998db02075d534487e91c7591d7a1a4
72,IndustryOR_72,IndustryOR_72_revise_business,Hard,R5,Scenario Restructuring,0.01,10c3dd32f5186fe254b19724cff90ac639ae701c1f7ad769b383191a6d478119
73,IndustryOR_73,IndustryOR_73_revise_business,Hard,R5,Scenario Restructuring,0.01,0abc206c9bedd4930255e70d330fb1cbae108e25eb2a5837423b9de81ec63629
74,IndustryOR_74,IndustryOR_74_revise_business,Medium,R4,Penalty / Fixed Cost Addition,0.01,18918ad63feb9e6e4a4fd5ebe6e5d9f440008ee94a7484b8daf3fb99c3c24cfe
75,IndustryOR_75,IndustryOR_75_revise_business,Hard,R5,Scenario Restructuring,0.01,bba0ff03e792ef716102350d79c36129b7308740145f3de3c6ab13a78a0d89c5
76,IndustryOR_76,IndustryOR_76_revise_business,Hard,R5,Scenario Restructuring,0.01,360844a79ec7065808ee43f29a46147d65af6c364d8374d51e612d4b9cf1faf9
77,IndustryOR_77,IndustryOR_77_revise_4,Easy,R4,Penalty / Fixed Cost Addition,0.01,9d44026486ad2aa52fc47341f760a08ad48292f78dc39ff777cf85f5d3a63f28
78,IndustryOR_78,IndustryOR_78_revise_3,Medium,R3,Business Logic / Dependency Constraint,0.01,f82d1becb2e71a7ec5ef74e8c699ab30a462d1cbcf7de981594d51bbd614eb1b
79,IndustryOR_79,IndustryOR_79_revise_business,Hard,R5,Scenario Restructuring,0.01,607110d0ba133212dc29272139b7d81ffc785c36deea588cd629a324223c8304
80,IndustryOR_80,IndustryOR_80_revise_business,Hard,R5,Scenario Restructuring,0.01,39cdbc0b1b24703c0d310a8bfdb4ceb6cebf7b9b6aed479ff6fccebc8a572b22
81,IndustryOR_81,IndustryOR_81_revise_business,L5,R4,structural_change,0.01,0f8116d7db82cf03477742bbd911b9e2c01f34755ddc59d84fa67a59e8b9dc13
82,IndustryOR_82,IndustryOR_82_revise_business,L5,R5,Scenario Restructuring,0.01,44ee8dc8b5e8040684ada3707d3163465f4c0b3d214e735b038580841dce6e32
83,IndustryOR_83,IndustryOR_83_revise_business,Hard,R5,Scenario Restructuring,0.01,88cb2850a59bd3437b99474e97998376abc0b27177a6f4619a711a4caec875b5
84,IndustryOR_84,IndustryOR_84_revise_business,Hard,R5,Scenario Restructuring,0.01,c72fab32fbc12deb7e4ce1c1953c63bc61ffe6db6e5c37b903afe1384d07b3cd
85,IndustryOR_85,IndustryOR_85_revise_business,Hard,R4,Penalty / Fixed Cost Addition,0.01,e3e0cc8b40010acc65a29d4aef5793c514836c288f93beae96500553d2ef303e
86,IndustryOR_86,IndustryOR_86_revise_business,Hard,R5,Scenario Restructuring,0.01,7db52deab1c2781c38240575169c8b12411f7b659a1debd0b04926876038c1a0
87,IndustryOR_87,IndustryOR_87_revise_business,Medium,R4,Scenario Restructuring,0.01,d21e6e0964dbe4c17361744f209ec98ff5bae116a10880a7d1a8116f612dca37
88,IndustryOR_88,IndustryOR_88_revise_business,Hard,R5,Scenario Restructuring,0.01,912daa618755480ecd8ad4b712d7d71a48a6de16d7f16b4a3d12d2e3385b6d74
89,IndustryOR_89,IndustryOR_89_revise_business,Hard,R5,Scenario Restructuring,0.01,5d05fd7803cfa2b3a968438b479beb03906cf6d8c006cec99aa886145dec1ce1
90,IndustryOR_90,IndustryOR_90_revise_business,Hard,R5,Scenario Restructuring,0.01,0573eb8903082be661c1165e36490073f86929c15d11a3dbbca48d76f304e01c
91,IndustryOR_91,IndustryOR_91_revise_business,Easy,R4,Scenario Restructuring,0.01,877acdef9f964a6af8f72e37aefe47160f98691ec6a72dc3cc3455efb104cfa0
92,IndustryOR_92,IndustryOR_92_revise_2,Easy,R2,Bound / Conditional Capacity Constraint,0.01,8268cd618eb03fd9843a66cc7334bfe7a62e75ed58d4d1576d3f950126e1462a
93,IndustryOR_93,IndustryOR_93_revise_business,Hard,R5,Scenario Restructuring,0.01,c02ef9de3c64e4666ffd2162e607956b73244caf9bad1d314309557ab44b60a8
94,IndustryOR_94,IndustryOR_94_revise_business,Hard,R5,Scenario Restructuring,0.01,7541d98cd2c877c863155d52c235b215f3a51e7b3eb83fbe1959997c15cb51d2
95,IndustryOR_95,IndustryOR_95_revise_business,Medium,R4,Scenario Restructuring,0.01,d2612cfb9152fcaca58944f1819b0c6fd9656dbb46b95d4842bbf4940c06b2ac
96,IndustryOR_96,IndustryOR_96_revise_business,Hard,R5,Scenario Restructuring,0.01,f50618df6b06348524586853d7bfbed69b271eb99906dfe1d3f55ebde51ef97f
97,IndustryOR_97,IndustryOR_97_revise_business,Hard,R5,Scenario Restructuring,0.01,cdbf1cd9ab2840b6417cbc96eee3120e9e1487ec45043a754a631905348cdc33
98,IndustryOR_98,IndustryOR_98_revise_business,Medium,R4,Scenario Restructuring,0.01,ab83d44cadcc8a91412f05b6cedba758e9851acbd3ea383d5b68c46e553298bc
99,IndustryOR_99,IndustryOR_99_revise_business,Hard,R5,Scenario Restructuring,0.01,895d1eaf1668b15d8a3f8d828c724e58f920fe54d6ae1496d31438e791a5c414
100,IndustryOR_100,IndustryOR_100_revise_5,Hard,R5,Objective Function Transformation,0.01,19f6e72134632eaa03abf63b631ecfbb9e9d45405bb7a2d209485b65d90ee24d
