workspace_id,task_type,instance_number,instance_id,reference_objective,relative_tolerance
or_space_059_build,build,59,IndustryOR_59,6160.0,0.01
or_space_060_build,build,60,IndustryOR_60,153.0,0.01
or_space_061_build,build,61,IndustryOR_61,37000.0,0.01
or_space_062_build,build,62,IndustryOR_62,90000.0,0.01
or_space_063_build,build,63,IndustryOR_63,640.0,0.01
or_space_064_build,build,64,IndustryOR_64,38000.0,0.01
or_space_065_build,build,65,IndustryOR_65,30500.0,0.01
or_space_066_build,build,66,IndustryOR_66,25000.0,0.01
or_space_067_build,build,67,IndustryOR_67,3160500.0,0.01
or_space_068_build,build,68,IndustryOR_68,1030.0,0.01
or_space_069_build,build,69,IndustryOR_69,20.0,0.01
or_space_070_build,build,70,IndustryOR_70,35.0,0.01
or_space_071_build,build,71,IndustryOR_71,330.0,0.01
or_space_072_build,build,72,IndustryOR_72,135000.0,0.01
or_space_073_build,build,73,IndustryOR_73,1600.0,0.01
or_space_074_build,build,74,IndustryOR_74,115000.0,0.01
or_space_075_build,build,75,IndustryOR_75,57.0,0.01
or_space_076_build,build,76,IndustryOR_76,4700.0,0.01
or_space_077_build,build,77,IndustryOR_77,1005.0,0.01
or_space_078_build,build,78,IndustryOR_78,172.0,0.01
or_space_079_build,build,79,IndustryOR_79,9800.0,0.01
or_space_080_build,build,80,IndustryOR_80,84000.0,0.01
or_space_081_build,build,81,IndustryOR_81,28.6,0.01
or_space_082_build,build,82,IndustryOR_82,28.0,0.01
or_space_083_build,build,83,IndustryOR_83,26.0,0.01
or_space_084_build,build,84,IndustryOR_84,23000.0,0.01
or_space_085_build,build,85,IndustryOR_85,1866.37,0.01
or_space_086_build,build,86,IndustryOR_86,77500.0,0.01
or_space_087_build,build,87,IndustryOR_87,4170.0,0.01
or_space_088_build,build,88,IndustryOR_88,1.25,0.01
or_space_089_build,build,89,IndustryOR_89,146.667,0.01
or_space_090_build,build,90,IndustryOR_90,3600.0,0.01
or_space_091_build,build,91,IndustryOR_91,408.9,0.01
or_space_092_build,build,92,IndustryOR_92,6200.0,0.01
or_space_093_build,build,93,IndustryOR_93,3360.0,0.01
or_space_094_build,build,94,IndustryOR_94,5000000.0,0.01
or_space_095_build,build,95,IndustryOR_95,528.0,0.01
or_space_096_build,build,96,IndustryOR_96,19.6,0.01
or_space_097_build,build,97,IndustryOR_97,115.0,0.01
or_space_098_build,build,98,IndustryOR_98,137500.0,0.01
or_space_099_build,build,99,IndustryOR_99,0.6075,0.01
or_space_100_build,build,100,IndustryOR_100,84.0,0.01
