workspace_id,task_type,instance_number,instance_id,reference_objective,relative_tolerance
or_space_059_build,build,59,IndustryOR_59,6160.0,0.01
or_space_060_build,build,60,IndustryOR_60,153.0,0.01
or_space_061_build,build,61,IndustryOR_61,37000.0,0.01
or_space_062_build,build,62,IndustryOR_62,90000.0,0.01
or_space_063_build,build,63,IndustryOR_63,640.0,0.01
or_space_064_build,build,64,IndustryOR_64,38000.0,0.01
or_space_065_build,build,65,IndustryOR_65,30500.0,0.01
or_space_066_build,build,66,IndustryOR_66,25000.0,0.01
or_space_067_build,build,67,IndustryOR_67,3160500.0,0.01
or_space_068_build,build,68,IndustryOR_68,1030.0,0.01
or_space_069_build,build,69,IndustryOR_69,20.0,0.01
or_space_070_build,build,70,IndustryOR_70,35.0,0.01
or_space_071_build,build,71,IndustryOR_71,330.0,0.01
or_space_072_build,build,72,IndustryOR_72,135000.0,0.01
or_space_073_build,build,73,IndustryOR_73,1600.0,0.01
or_space_074_build,build,74,IndustryOR_74,115000.0,0.01
or_space_075_build,build,75,IndustryOR_75,57.0,0.01
or_space_076_build,build,76,IndustryOR_76,4700.0,0.01
or_space_077_build,build,77,IndustryOR_77,1005.0,0.01
or_space_078_build,build,78,IndustryOR_78,172.0,0.01
or_space_079_build,build,79,IndustryOR_79,9800.0,0.01
or_space_080_build,build,80,IndustryOR_80,84000.0,0.01
or_space_081_build,build,81,IndustryOR_81,28.6,0.01
or_space_082_build,build,82,IndustryOR_82,28.0,0.01
or_space_083_build,build,83,IndustryOR_83,26.0,0.01
or_space_084_build,build,84,IndustryOR_84,23000.0,0.01
or_space_085_build,build,85,IndustryOR_85,1866.37,0.01
or_space_086_build,build,86,IndustryOR_86,77500.0,0.01
or_space_087_build,build,87,IndustryOR_87,4170.0,0.01
or_space_088_build,build,88,IndustryOR_88,1.25,0.01
or_space_089_build,build,89,IndustryOR_89,146.667,0.01
or_space_090_build,build,90,IndustryOR_90,3600.0,0.01
or_space_091_build,build,91,IndustryOR_91,408.9,0.01
or_space_092_build,build,92,IndustryOR_92,6200.0,0.01
or_space_093_build,build,93,IndustryOR_93,3360.0,0.01
or_space_094_build,build,94,IndustryOR_94,5000000.0,0.01
or_space_095_build,build,95,IndustryOR_95,528.0,0.01
or_space_096_build,build,96,IndustryOR_96,19.6,0.01
or_space_097_build,build,97,IndustryOR_97,115.0,0.01
or_space_098_build,build,98,IndustryOR_98,137500.0,0.01
or_space_099_build,build,99,IndustryOR_99,0.6075,0.01
or_space_100_build,build,100,IndustryOR_100,84.0,0.01
or_space_001_revise,revise,1,IndustryOR_1_revise_business,263280.0,0.01
or_space_002_revise,revise,2,IndustryOR_2_revise_business,150.0,0.01
or_space_003_revise,revise,3,IndustryOR_3_revise_business,10300000.0,0.01
or_space_004_revise,revise,4,IndustryOR_4_revise_business,34800.0,0.01
or_space_005_revise,revise,5,IndustryOR_5_revise_business,27.5443,0.01
or_space_006_revise,revise,6,IndustryOR_6_revise_business,10475.0,0.01
or_space_007_revise,revise,7,IndustryOR_7_revise_business,749100.0,0.01
or_space_008_revise,revise,8,IndustryOR_8_revise_business,37.0,0.01
or_space_009_revise,revise,9,IndustryOR_9_revise_business,801.0,0.01
or_space_010_revise,revise,10,IndustryOR_10_revise_business,6.0,0.01
or_space_011_revise,revise,11,IndustryOR_11_revise_business,12686.0,0.01
or_space_012_revise,revise,12,IndustryOR_12_revise_business,46550.0,0.01
or_space_013_revise,revise,13,IndustryOR_13_revise_business,150000.0,0.01
or_space_014_revise,revise,14,IndustryOR_14_revise,58.0,0.01
or_space_015_revise,revise,15,IndustryOR_15_revise_business,167.0,0.01
or_space_016_revise,revise,16,IndustryOR_16_revise_business,2800.0,0.01
or_space_017_revise,revise,17,IndustryOR_17_revise_business,0.234,0.01
or_space_018_revise,revise,18,IndustryOR_18_revise_business,6.0,0.01
or_space_019_revise,revise,19,IndustryOR_19_revise_business,4150.0,0.01
or_space_020_revise,revise,20,IndustryOR_20_revise_business,720.0,0.01
or_space_021_revise,revise,21,IndustryOR_21_revise_business,16750.0,0.01
or_space_022_revise,revise,22,IndustryOR_22_revise_business,156000.00101999997,0.01
or_space_023_revise,revise,23,IndustryOR_23_revise_business,24000.0,0.01
or_space_024_revise,revise,24,IndustryOR_24_revise_business,800.0,0.01
or_space_025_revise,revise,25,IndustryOR_25_revise_business,472200.0,0.01
or_space_026_revise,revise,26,IndustryOR_26_revise_business,51.2,0.01
or_space_027_revise,revise,27,IndustryOR_27_revise_business,568.422,0.01
or_space_028_revise,revise,28,IndustryOR_28_revise_business,553400.0,0.01
or_space_029_revise,revise,29,IndustryOR_29_revise_business,5500.0,0.01
or_space_030_revise,revise,30,IndustryOR_30_revise_business,35.0,0.01
or_space_031_revise,revise,31,IndustryOR_31_revise_business,670.57,0.01
or_space_032_revise,revise,32,IndustryOR_32_revise_business,90.3379,0.01
or_space_033_revise,revise,33,IndustryOR_33_revise_business,200.0,0.01
or_space_034_revise,revise,34,IndustryOR_34_revise_business,8.0,0.01
or_space_035_revise,revise,35,IndustryOR_35_revise_business,34.75,0.01
or_space_036_revise,revise,36,IndustryOR_36_revise_business,297.04,0.01
or_space_037_revise,revise,37,IndustryOR_37_revise_business,23500.0,0.01
or_space_038_revise,revise,38,IndustryOR_38_revise_business,16.7,0.01
or_space_039_revise,revise,39,IndustryOR_39_revise_business,670.0,0.01
or_space_040_revise,revise,40,IndustryOR_40_revise_business,37617279.921,0.01
or_space_041_revise,revise,41,IndustryOR_41_revise_business,948640.0,0.01
or_space_042_revise,revise,42,IndustryOR_42_revise_business,160.0,0.01
or_space_043_revise,revise,43,IndustryOR_43_revise_business,16500.0,0.01
or_space_044_revise,revise,44,IndustryOR_44_revise_business,773.0,0.01
or_space_045_revise,revise,45,IndustryOR_45_revise_business,700.0,0.01
or_space_046_revise,revise,46,IndustryOR_46_revise_business,859.6999999999999,0.01
or_space_047_revise,revise,47,IndustryOR_47_revise_business,20260.8697,0.01
or_space_048_revise,revise,48,IndustryOR_48_revise_business,30.0,0.01
or_space_049_revise,revise,49,IndustryOR_49_revise_business,225200.0,0.01
or_space_050_revise,revise,50,IndustryOR_50_revise_business,7300.0,0.01
or_space_051_revise,revise,51,IndustryOR_51_revise_business,4400.0,0.01
or_space_052_revise,revise,52,IndustryOR_52_revise_business,300.0,0.01
or_space_053_revise,revise,53,IndustryOR_53_revise_business,2520.0,0.01
or_space_054_revise,revise,54,IndustryOR_54_revise_business,31.7,0.01
or_space_055_revise,revise,55,IndustryOR_55_revise_business,6.0,0.01
or_space_056_revise,revise,56,IndustryOR_56_revise_business,-850.0,0.01
or_space_057_revise,revise,57,IndustryOR_57_revise_business,1280.0,0.01
or_space_058_revise,revise,58,IndustryOR_58_revise_business,510909.091,0.01
or_space_059_revise,revise,59,IndustryOR_59_revise_business,5059.99992,0.01
or_space_060_revise,revise,60,IndustryOR_60_revise_business,173.0,0.01
or_space_061_revise,revise,61,IndustryOR_61_revise_business,46980.0,0.01
or_space_062_revise,revise,62,IndustryOR_62_revise_business,105000.0,0.01
or_space_063_revise,revise,63,IndustryOR_63_revise_business,1745.0,0.01
or_space_064_revise,revise,64,IndustryOR_64_revise_business,39000.0,0.01
or_space_065_revise,revise,65,IndustryOR_65_revise_business,37200.0,0.01
or_space_066_revise,revise,66,IndustryOR_66_revise_business,25500.0,0.01
or_space_067_revise,revise,67,IndustryOR_67_revise_business,4159500.0,0.01
or_space_068_revise,revise,68,IndustryOR_68_revise_business,925.0,0.01
or_space_069_revise,revise,69,IndustryOR_69_revise_business,27.5,0.01
or_space_070_revise,revise,70,IndustryOR_70_revise_business,27.0,0.01
or_space_071_revise,revise,71,IndustryOR_71_revise_business,670.0,0.01
or_space_072_revise,revise,72,IndustryOR_72_revise_business,137800.0,0.01
or_space_073_revise,revise,73,IndustryOR_73_revise_business,2600.0,0.01
or_space_074_revise,revise,74,IndustryOR_74_revise_business,115000.0,0.01
or_space_075_revise,revise,75,IndustryOR_75_revise_business,59.6666668,0.01
or_space_076_revise,revise,76,IndustryOR_76_revise_business,4800.0,0.01
or_space_077_revise,revise,77,IndustryOR_77_revise_4,1025.0,0.01
or_space_078_revise,revise,78,IndustryOR_78_revise_3,215.0,0.01
or_space_079_revise,revise,79,IndustryOR_79_revise_business,10450.0,0.01
or_space_080_revise,revise,80,IndustryOR_80_revise_business,86000.0,0.01
or_space_081_revise,revise,81,IndustryOR_81_revise_business,57.1,0.01
or_space_082_revise,revise,82,IndustryOR_82_revise_business,22.200000000000003,0.01
or_space_083_revise,revise,83,IndustryOR_83_revise_business,102.0,0.01
or_space_084_revise,revise,84,IndustryOR_84_revise_business,25000.0,0.01
or_space_085_revise,revise,85,IndustryOR_85_revise_business,1811.0,0.01
or_space_086_revise,revise,86,IndustryOR_86_revise_business,71999.99999999999,0.01
or_space_087_revise,revise,87,IndustryOR_87_revise_business,4880.0,0.01
or_space_088_revise,revise,88,IndustryOR_88_revise_business,17.3,0.01
or_space_089_revise,revise,89,IndustryOR_89_revise_business,337.333,0.01
or_space_090_revise,revise,90,IndustryOR_90_revise_business,3960.0,0.01
or_space_091_revise,revise,91,IndustryOR_91_revise_business,440.0,0.01
or_space_092_revise,revise,92,IndustryOR_92_revise_2,6600.0,0.01
or_space_093_revise,revise,93,IndustryOR_93_revise_business,3540.0,0.01
or_space_094_revise,revise,94,IndustryOR_94_revise_business,4700000.000000002,0.01
or_space_095_revise,revise,95,IndustryOR_95_revise_business,591.0,0.01
or_space_096_revise,revise,96,IndustryOR_96_revise_business,19.400000000000002,0.01
or_space_097_revise,revise,97,IndustryOR_97_revise_business,60.0,0.01
or_space_098_revise,revise,98,IndustryOR_98_revise_business,128100.0,0.01
or_space_099_revise,revise,99,IndustryOR_99_revise_business,0.5984999999999999,0.01
or_space_100_revise,revise,100,IndustryOR_100_revise_5,35.0,0.01
